Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,2.362000000000000099e+01
9.987931251525878906e-01,0.000000000000000000e+00,2.362000000000000099e+01
1.995352506637573242e+00,0.000000000000000000e+00,2.358999999999999986e+01
2.994018077850341797e+00,0.000000000000000000e+00,2.357000000000000028e+01
3.995444059371948242e+00,0.000000000000000000e+00,2.360999999999999943e+01
4.993108749389648438e+00,0.000000000000000000e+00,2.358999999999999986e+01
5.996032476425170898e+00,0.000000000000000000e+00,2.360999999999999943e+01
6.998085260391235352e+00,0.000000000000000000e+00,2.358999999999999986e+01
8.003376722335815430e+00,0.000000000000000000e+00,2.357000000000000028e+01
9.001837491989135742e+00,0.000000000000000000e+00,2.358999999999999986e+01
1.000306177139282227e+01,5.000000000000000000e+01,2.355999999999999872e+01
1.100093913078308105e+01,5.000000000000000000e+01,2.355999999999999872e+01
1.199336886405944824e+01,5.000000000000000000e+01,2.358999999999999986e+01
1.299680423736572266e+01,5.000000000000000000e+01,2.369999999999999929e+01
1.399883532524108887e+01,5.000000000000000000e+01,2.375000000000000000e+01
1.499945902824401855e+01,5.000000000000000000e+01,2.380000000000000071e+01
1.599841570854187012e+01,5.000000000000000000e+01,2.394000000000000128e+01
1.699043202400207520e+01,5.000000000000000000e+01,2.408999999999999986e+01
1.799682354927062988e+01,5.000000000000000000e+01,2.441000000000000014e+01
1.899412035942077637e+01,5.000000000000000000e+01,2.467000000000000171e+01
1.998524260520935059e+01,5.000000000000000000e+01,2.498999999999999844e+01
2.098752665519714355e+01,5.000000000000000000e+01,2.535999999999999943e+01
2.199111104011535645e+01,5.000000000000000000e+01,2.573000000000000043e+01
2.299264478683471680e+01,5.000000000000000000e+01,2.605000000000000071e+01
2.399849319458007812e+01,5.000000000000000000e+01,2.667000000000000171e+01
2.499053978919982910e+01,5.000000000000000000e+01,2.701999999999999957e+01
2.598214173316955566e+01,5.000000000000000000e+01,2.751999999999999957e+01
2.698479747772216797e+01,5.000000000000000000e+01,2.798999999999999844e+01
2.798012924194335938e+01,5.000000000000000000e+01,2.862999999999999901e+01
2.898219180107116699e+01,5.000000000000000000e+01,2.912999999999999901e+01
2.998341751098632812e+01,5.000000000000000000e+01,2.962000000000000099e+01
3.098161649703979492e+01,5.000000000000000000e+01,3.023999999999999844e+01
3.197243309020996094e+01,5.000000000000000000e+01,3.089000000000000057e+01
3.297253513336181641e+01,5.000000000000000000e+01,3.153000000000000114e+01
3.397513031959533691e+01,5.000000000000000000e+01,3.217999999999999972e+01
3.497940683364868164e+01,5.000000000000000000e+01,3.277000000000000313e+01
3.597655653953552246e+01,5.000000000000000000e+01,3.335000000000000142e+01
3.697600388526916504e+01,5.000000000000000000e+01,3.400000000000000000e+01
3.798171877861022949e+01,5.000000000000000000e+01,3.464000000000000057e+01
