Time (sec),               Position 
0.000000000000000000e+00,2.000000000000000000e+00
6.122448979591836871e-01,1.867116699498082788e+00
1.224489795918367374e+00,1.673560835650117040e+00
1.836734693877551061e+00,1.432137147247849907e+00
2.448979591836734748e+00,1.087178692358805154e+00
3.061224489795918657e+00,3.786159818962525625e-01
3.673469387755102122e+00,-1.707193940266249710e+00
4.285714285714285587e+00,-1.981451115350710168e+00
4.897959183673469497e+00,-1.812217497409686073e+00
5.510204081632653406e+00,-1.606789373097557760e+00
6.122448979591837315e+00,-1.343157416374979096e+00
6.734693877551020336e+00,-9.376818860101981956e-01
7.346938775510204245e+00,7.795703243723213494e-02
7.959183673469388154e+00,1.982743569783074644e+00
8.571428571428571175e+00,1.934564243238249714e+00
9.183673469387755972e+00,1.754083316484681854e+00
9.795918367346938993e+00,1.534942939593614275e+00
1.040816326530612201e+01,1.242606708483872779e+00
1.102040816326530681e+01,7.454055627813130913e-01
1.163265306122448983e+01,-7.752924922124300178e-01
1.224489795918367463e+01,-2.021602081537645645e+00
1.285714285714285765e+01,-1.883230688844527823e+00
1.346938775510204067e+01,-1.692582553506693399e+00
1.408163265306122547e+01,-1.456810424913241642e+00
1.469387755102040849e+01,-1.125950884004992769e+00
1.530612244897959151e+01,-4.795938318818602775e-01
1.591836734693877631e+01,1.541856637262219110e+00
1.653061224489795933e+01,1.993800717607023820e+00
1.714285714285714235e+01,1.828911064157799027e+00
1.775510204081632537e+01,1.627121355027921323e+00
1.836734693877551194e+01,1.370657293716693870e+00
1.897959183673469497e+01,9.856664296915570445e-01
1.959183673469387799e+01,8.019630389820139871e-02
2.020408163265306101e+01,-1.937760208063032508e+00
2.081632653061224403e+01,-1.949106043472648153e+00
2.142857142857143060e+01,-1.771691000016712758e+00
2.204081632653061362e+01,-1.556889765648791224e+00
2.265306122448979664e+01,-1.273926699217604819e+00
2.326530612244897966e+01,-8.084381144050007961e-01
2.387755102040816269e+01,5.432266018047990919e-01
2.448979591836734926e+01,2.021421430264663144e+00
2.510204081632653228e+01,1.898822950079734451e+00
2.571428571428571530e+01,1.711244297690077465e+00
2.632653061224489832e+01,1.480779157643276278e+00
2.693877551020408134e+01,1.162671978000986428e+00
2.755102040816326436e+01,5.690808895730052885e-01
2.816326530612245094e+01,-1.337484900438408175e+00
2.877551020408163396e+01,-2.004858480247353913e+00
2.938775510204081698e+01,-1.845350800265838531e+00
3.000000000000000000e+01,-1.647034005288783742e+00
