Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,3.927000000000000313e+01
1.005249500274658203e+00,0.000000000000000000e+00,2.541000000000000014e+01
2.002263784408569336e+00,0.000000000000000000e+00,2.541000000000000014e+01
2.994391202926635742e+00,0.000000000000000000e+00,2.541000000000000014e+01
3.994677305221557617e+00,0.000000000000000000e+00,2.541000000000000014e+01
4.993329524993896484e+00,0.000000000000000000e+00,2.541000000000000014e+01
5.985540390014648438e+00,0.000000000000000000e+00,2.541000000000000014e+01
6.983278274536132812e+00,0.000000000000000000e+00,2.541000000000000014e+01
7.976539850234985352e+00,0.000000000000000000e+00,2.541000000000000014e+01
8.975249767303466797e+00,0.000000000000000000e+00,2.541000000000000014e+01
9.987568378448486328e+00,5.000000000000000000e+01,2.541000000000000014e+01
1.098325634002685547e+01,5.000000000000000000e+01,2.541000000000000014e+01
1.198024916648864746e+01,5.000000000000000000e+01,2.542999999999999972e+01
1.297453570365905762e+01,5.000000000000000000e+01,2.541000000000000014e+01
1.396917533874511719e+01,5.000000000000000000e+01,2.541000000000000014e+01
1.496457862854003906e+01,5.000000000000000000e+01,2.551000000000000156e+01
1.596431040763854980e+01,5.000000000000000000e+01,2.562000000000000099e+01
1.696760988235473633e+01,5.000000000000000000e+01,2.573000000000000043e+01
1.796122455596923828e+01,5.000000000000000000e+01,2.576000000000000156e+01
1.895692062377929688e+01,5.000000000000000000e+01,2.603999999999999915e+01
1.994785022735595703e+01,5.000000000000000000e+01,2.605000000000000071e+01
2.094107651710510254e+01,5.000000000000000000e+01,2.630000000000000071e+01
2.193673610687255859e+01,5.000000000000000000e+01,2.641000000000000014e+01
2.293028664588928223e+01,5.000000000000000000e+01,2.669999999999999929e+01
2.392710685729980469e+01,5.000000000000000000e+01,2.694000000000000128e+01
2.491914272308349609e+01,5.000000000000000000e+01,2.701999999999999957e+01
2.591232967376708984e+01,5.000000000000000000e+01,2.733999999999999986e+01
2.690674710273742676e+01,5.000000000000000000e+01,2.767000000000000171e+01
2.790036511421203613e+01,5.000000000000000000e+01,2.798999999999999844e+01
